Month,Avg. Surface Temperature,Avg. Uncertainty,Country
January,-2.941,2.230,Åland
February,-3.630,2.006,Åland
March,-2.071,1.759,Åland
April,1.772,1.692,Åland
May,6.865,1.554,Åland
June,12.214,1.608,Åland
July,15.862,1.605,Åland
August,15.448,1.556,Åland
September,11.558,1.439,Åland
October,6.698,1.587,Åland
November,2.640,1.719,Åland
December,-0.792,1.953,Åland
January,0.470,1.048,Afghanistan
February,2.917,0.981,Afghanistan
March,8.416,0.925,Afghanistan
April,14.500,0.903,Afghanistan
May,20.288,0.881,Afghanistan
June,24.933,0.924,Afghanistan
July,26.933,0.926,Afghanistan
August,25.220,0.906,Afghanistan
September,20.319,0.893,Afghanistan
October,13.865,0.849,Afghanistan
November,7.719,0.936,Afghanistan
December,2.546,0.991,Afghanistan
January,20.943,0.460,Africa
February,22.238,0.441,Africa
March,23.901,0.408,Africa
April,25.005,0.395,Africa
May,25.646,0.378,Africa
June,25.516,0.387,Africa
July,25.211,0.374,Africa
August,25.365,0.364,Africa
September,25.678,0.354,Africa
October,24.970,0.364,Africa
November,23.182,0.400,Africa
December,21.196,0.420,Africa
January,2.861,1.938,Albania
February,4.284,1.790,Albania
March,7.355,1.495,Albania
April,11.295,1.506,Albania
May,16.038,1.378,Albania
June,19.979,1.364,Albania
July,22.440,1.404,Albania
August,22.134,1.369,Albania
September,18.410,1.319,Albania
October,13.508,1.429,Albania
November,8.636,1.553,Albania
December,4.483,1.746,Albania
January,11.821,1.304,Algeria
February,14.429,1.251,Algeria
March,18.377,1.181,Algeria
April,22.498,1.149,Algeria
May,27.148,1.127,Algeria
June,31.475,1.147,Algeria
July,33.663,1.157,Algeria
August,32.918,1.112,Algeria
September,29.470,1.094,Algeria
October,23.772,1.141,Algeria
November,17.542,1.198,Algeria
December,12.611,1.254,Algeria
January,26.789,0.562,American Samoa
February,26.934,0.549,American Samoa
March,27.067,0.533,American Samoa
April,26.951,0.530,American Samoa
May,26.881,0.516,American Samoa
June,26.545,0.553,American Samoa
July,26.211,0.565,American Samoa
August,26.188,0.524,American Samoa
September,26.259,0.535,American Samoa
October,26.279,0.529,American Samoa
November,26.563,0.530,American Samoa
December,26.680,0.569,American Samoa
January,3.424,1.965,Andorra
February,4.910,1.782,Andorra
March,7.143,1.539,Andorra
April,9.543,1.509,Andorra
May,13.338,1.381,Andorra
June,17.254,1.379,Andorra
July,19.955,1.403,Andorra
August,19.630,1.383,Andorra
September,16.381,1.322,Andorra
October,11.626,1.407,Andorra
November,7.202,1.572,Andorra
December,4.090,1.679,Andorra
January,22.572,0.704,Angola
February,22.836,0.667,Angola
March,22.966,0.655,Angola
April,22.432,0.638,Angola
May,20.997,0.710,Angola
June,18.882,0.708,Angola
July,18.648,0.646,Angola
August,20.514,0.637,Angola
September,22.747,0.619,Angola
October,23.503,0.599,Angola
November,23.193,0.621,Angola
December,22.591,0.669,Angola
January,24.850,0.707,Anguilla
February,24.862,0.653,Anguilla
March,25.264,0.602,Anguilla
April,25.810,0.615,Anguilla
May,26.879,0.597,Anguilla
June,27.701,0.563,Anguilla
July,28.056,0.563,Anguilla
August,28.170,0.536,Anguilla
September,27.982,0.537,Anguilla
October,27.508,0.530,Anguilla
November,26.774,0.600,Anguilla
December,25.501,0.691,Anguilla
January,nan,nan,Antarctica
February,nan,nan,Antarctica
